canonical_smiles,molecule_chembl_id,pchembl_value,standard_units,standard_value,units,value,Potency
CC[C@H](C)[C@H](NC(=O)[C@H]1CCCCNC(=O)C[C@@H](NC(=O)CNC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)N[C@H](Cc2ccccc2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCCN=C(N)N)C(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@@H]1C(=O)N[C@H](CCCCN)C(N)=O,CHEMBL386170,5.77,nM,1710.0,nM,1710.0,Active
CC[C@H](C)[C@H](NC(=O)[C@H]1CCCCNC(=O)C[C@H](NC(=O)CNC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)N[C@H](Cc2ccccc2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCCN=C(N)N)C(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@@H]1C(=O)N[C@H](CCCCN)C(N)=O,CHEMBL216182,6.89,nM,130.0,nM,130.0,Active
CC[C@@H](C)[C@H]1NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@H](NC(=O)[C@@H](Cc2ccccc2)NC(=O)CNC(=O)CNC(=O)[C@H](N)Cc2ccc(O)cc2)CCCCNC(=O)C[C@H](C(=O)N2CCC[C@H]2C(=O)N[C@H](CCCCN)C(N)=O)NC1=O,CHEMBL412600,6.82,nM,150.0,nM,150.0,Active
CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@@H]1C(=O)N[C@H](CCCCN)C(N)=O,CHEMBL387437,5.75,nM,1800.0,nM,1800.0,Active
CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@H](CC(=O)O)C(=O)N1CCC[C@@H]1C(=O)N[C@H](CCCCN)C(N)=O,CHEMBL412580,5.71,nM,1970.0,nM,1970.0,Active
CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](CC(=O)O)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@@H]1C(=O)N[C@H](CCCCN)C(N)=O,CHEMBL264733,6.25,nM,560.0,nM,560.0,Active
CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@@H]1C(=O)N[C@H](CCCCN)C(N)=O,CHEMBL217049,8.94,nM,1.15,nM,1.15,Active
CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]1CCCCNC(=O)C[C@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)NCC(=O)N[C@H](Cc2ccccc2)C(=O)N[C@@H](CC(C)C)C(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@@H]1C(=O)N[C@H](CCCCN)C(N)=O,CHEMBL413011,7.92,nM,12.0,nM,12.0,Active
CC[C@@H](C)[C@H]1NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@H](NC(=O)[C@@H](Cc2ccccc2)NC(=O)CNC(=O)CNC(=O)[C@H](N)Cc2ccc(O)cc2)CCCCNC(=O)C[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@H](CCCCN)C(N)=O)NC1=O,CHEMBL387083,7.30,nM,50.0,nM,50.0,Active
CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CC(=O)O)C(=O)N1CCC[C@@H]1C(=O)N[C@H](CCCCN)C(N)=O,CHEMBL384485,5.48,nM,3290.0,nM,3290.0,Active
CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]1CCCCNC(=O)C[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)NCC(=O)N[C@H](Cc2ccccc2)C(=O)N[C@@H](CC(C)C)C(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@@H]1C(=O)N[C@H](CCCCN)C(N)=O,CHEMBL415339,6.04,nM,910.0,nM,910.0,Active
C=C(Cl)C(=O)N[C@@H]1CCC2C3Cc4ccc(O)c5c4C2(CCN3C)[C@H]1O5,CHEMBL41366,7.35,nM,45.0,nM,45.0,Active
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](CO)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)O)[C@@H](C)O,CHEMBL124283,8.89,nM,1.3,nM,1.3,Active
C=C(Cl)C(=O)N[C@@H]1CCC2C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)[C@H]1O5,CHEMBL289426,9.28,nM,0.53,nM,0.53,Active
CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@H](CN1CCCC1)c1ccccc1,CHEMBL38576,6.22,nM,600.0,nM,600.0,Active
CN(C(=O)Cc1ccccc1N=C=S)[C@H](CN1CCCC1)c1ccccc1,CHEMBL97392,5.97,nM,1060.0,nM,1060.0,Active
CN(C(=O)Cc1cc(Cl)c(Cl)cc1N=C=S)[C@H](CN1CCCC1)c1ccccc1,CHEMBL95001,5.77,nM,1700.0,nM,1700.0,Active
CN(C(=O)Cc1ccc(N=C=S)cc1)[C@H](CN1CCCC1)c1ccccc1,CHEMBL95726,6.82,nM,150.0,nM,150.0,Active
C=C(Cl)C(=O)N[C@@]12CCC(=O)[C@@H]3Oc4c(O)ccc5c4C31CCN(C)C2C5,CHEMBL290616,6.75,nM,178.0,nM,178.0,Active
CC1(C)SSC(C)(C)[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)NCC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H]1C(=O)O,CHEMBL31421,8.74,nM,1.8,nM,1.8,Active
C=C(Cl)C(=O)N[C@@]12CCC(=O)[C@@H]3Oc4c(O)ccc5c4C31CCN(CC1CC1)C2C5,CHEMBL288178,6.75,nM,177.0,nM,177.0,Active
CN(C(=O)Cc1cccc(N=C=S)c1)[C@H](CN1CCCC1)c1ccccc1,CHEMBL97246,6.84,nM,144.0,nM,144.0,Active
CCCC[C@@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O)N(C)C(=O)[C@H](NC(=O)CNC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)CC(=O)O)[C@H](C)c1c[nH]c2ccccc12,CHEMBL2111881,6.09,nM,820.0,nM,820.0,Active
CCCC[C@@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O)N(C)C(=O)[C@H](NC(=O)CNC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)CC(=O)O)[C@@H](C)c1c[nH]c2ccccc12,CHEMBL2111882,5.98,nM,1050.0,nM,1050.0,Active
CCCC[C@@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O)N(C)C(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)CC(=O)O,CHEMBL407057,7.54,nM,29.0,nM,29.0,Active
CCCC[C@@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O)N(C)C(=O)[C@@H](NC(=O)CNC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)CC(=O)O)[C@H](C)c1c[nH]c2ccccc12,CHEMBL2112688,7.19,nM,65.0,nM,65.0,Active
CCCC[C@@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O)N(C)C(=O)[C@@H](NC(=O)CNC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)CC(=O)O)[C@@H](C)c1c[nH]c2ccccc12,CHEMBL2112689,6.85,nM,140.0,nM,140.0,Active
Oc1ccc2c3c1OC1[C@@H](OCc4ccc(-c5ccccc5)cc4)CCC4(O)C(C2)N(CC2CC2)CCC314,CHEMBL2111913,7.72,nM,19.0,nM,19.0,Active
Oc1ccc2c3c1O[C@H]1[C@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314,CHEMBL140278,7.58,nM,26.0,nM,26.0,Active
Oc1ccc2c3c1OC1[C@@H](OCc4cccc5ccccc45)CCC4(O)C(C2)N(CC2CC2)CCC314,CHEMBL2111912,8.18,nM,6.6,nM,6.6,Active
O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,CHEMBL19019,8.00,nM,10.0,nM,10.0,Active
Oc1ccc2c3c1OC1[C@@H](OCc4c5ccccc5cc5ccccc45)CCC4(O)C(C2)N(CC2CC2)CCC314,CHEMBL2111916,7.44,nM,36.0,nM,36.0,Active
Oc1ccc2c3c1OC1[C@H](OCc4c5ccccc5cc5ccccc45)CCC4(O)C(C2)N(CC2CC2)CCC314,CHEMBL2112736,7.32,nM,48.0,nM,48.0,Active
Oc1ccc2c3c1OC1[C@@H](OCc4ccc5ccccc5c4)CCC4(O)C(C2)N(CC2CC2)CCC314,CHEMBL2111911,7.70,nM,20.0,nM,20.0,Active
O=C(COC1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5)C1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2,CHEMBL423341,7.52,nM,30.0,nM,30.0,Active
Oc1ccc2c3c1OC1[C@H](OCc4ccc5ccccc5c4)CCC4(O)C(C2)N(CC2CC2)CCC314,CHEMBL2112729,7.60,nM,25.0,nM,25.0,Active
Oc1ccc2c3c1OC1[C@H](OCc4ccccc4)CCC4(O)C(C2)N(CC2CC2)CCC314,CHEMBL2112732,8.54,nM,2.9,nM,2.9,Active
Oc1ccc2c3c1OC1[C@@H](OCc4ccccc4)CCC4(O)C(C2)N(CC2CC2)CCC314,CHEMBL2111914,8.85,nM,1.4,nM,1.4,Active
Oc1ccc2c3c1OC1[C@H](OCc4ccc(-c5ccccc5)cc4)CCC4(O)C(C2)N(CC2CC2)CCC314,CHEMBL2112730,7.96,nM,11.0,nM,11.0,Active
Oc1ccc2c3c1OC1[C@H](OCc4cccc5ccccc45)CCC4(O)C(C2)N(CC2CC2)CCC314,CHEMBL2112740,8.26,nM,5.5,nM,5.5,Active
C=C(COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314)C(=O)OC,CHEMBL140145,7.68,nM,21.0,nM,21.0,Active
C=C(CO[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5)C(=O)OC,CHEMBL76023,8.85,nM,1.4,nM,1.4,Active
C=C(COc1ccc2c3c1O[C@H]1c4[nH]c5c(c4C[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314)C[C@@]1(O)[C@H]2Cc3ccc(OCC(=C)C(=O)OC)c4c3[C@@]1(CCN2CC1CC1)[C@H]5O4)C(=O)OC,CHEMBL407685,7.30,nM,50.0,nM,50.0,Active
C=C(COc1ccc2c3c1O[C@H]1[C@@]4(OC)C=C[C@@]5(C[C@@H]4[C@](C)(O)CCC)[C@@H](C2)N(C)CC[C@]315)C(=O)OC,CHEMBL143815,8.92,nM,1.2,nM,1.2,Active
Oc1ccc2c3c1O[C@H]1c4[nH]c5ccccc5c4C[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314,CHEMBL567175,9.49,nM,0.32,nM,0.32,Active
C=C(COc1ccc2c3c1O[C@H]1c4[nH]c5ccccc5c4C[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314)C(=O)OC,CHEMBL344420,9.10,nM,0.8,nM,0.8,Active
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,CHEMBL963,7.35,nM,45.0,nM,45.0,Active
Oc1ccc2c3c1O[C@H]1c4[nH]c5c(c4C[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314)C[C@@]1(O)[C@H]2Cc3ccc(O)c4c3[C@@]1(CCN2CC1CC1)[C@H]5O4,CHEMBL573214,7.66,nM,22.0,nM,22.0,Active
CCC12CCN(CC3(O)CC3)C(Cc3ccc(O)cc31)C2(C)C,CHEMBL350384,8.82,nM,1.5,nM,1.5,Active
CN1CC[C@]23c4c5ccc(-c6ccoc6)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,CHEMBL87247,5.13,nM,7400.0,nM,7400.0,Active
CO[C@]12CC[C@@]3(C[C@@H]1C(C)(C)O)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,CHEMBL281786,9.17,nM,0.68,nM,0.68,Active
C=C(COc1ccc2c3c1O[C@H]1[C@H](OCC(=C)C(=O)OC)CC[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314)C(=O)OC,CHEMBL143416,8.49,nM,3.2,nM,3.2,Active
C=C(COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314)C(=O)OC,CHEMBL343167,7.77,nM,17.0,nM,17.0,Active
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,CHEMBL70,6.37,nM,430.0,nM,430.0,Active
CCC[C@@](C)(O)[C@H]1C[C@@]23C=C[C@]1(OC)[C@@H]1Oc4c(O)ccc5c4[C@@]12CCN(C)[C@@H]3C5,CHEMBL140050,8.89,nM,1.3,nM,1.3,Active
C=C(COc1ccc2c3c1O[C@H]1[C@@]4(OC)CC[C@@]5(C[C@@H]4C(C)(C)O)[C@@H](C2)N(CC2CC2)CC[C@]315)C(=O)OC,CHEMBL2092986,8.89,nM,1.3,nM,1.3,Active
CC(=O)c1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,CHEMBL82576,5.10,nM,7900.0,nM,7900.0,Active
C=C(COc1ccc2c3c1O[C@H]1[C@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314)C(=O)OC,CHEMBL140044,7.47,nM,34.0,nM,34.0,Active
Brc1ccc2c(c1)[C@H]1c3cc(Br)ccc3[C@H](C2)N2CCC[C@@H]12,CHEMBL3707097,5.30,nM,5020.0,nM,5020.0,Active
CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,CHEMBL592,8.29,nM,5.1,nM,5.1,Active
C[C@@H]1[C@H]2c3cc(NCc4ccccc4)ccc3C[C@@H](c3ccc(NCc4ccccc4)cc32)N1C,CHEMBL3707102,6.92,nM,120.0,nM,120.0,Active
Brc1ccc(CNc2ccc3c(c2)[C@H]2c4cc(NCc5ccc(Br)cc5)ccc4[C@H](C3)N3CCC[C@@H]23)cc1,CHEMBL3707076,5.28,nM,5300.0,nM,5300.0,Active
C[C@@H]1[C@H]2c3cc(N4CCOCC4)ccc3C[C@@H](c3ccc(N4CCOCC4)cc32)N1C,CHEMBL3707093,5.12,nM,7500.0,nM,7500.0,Active
CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(N)=O,CHEMBL262963,6.14,nM,730.0,nM,730.0,Active
CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](C)NC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(N)=O,CHEMBL415795,6.00,nM,1000.0,nM,1000.0,Active
C[C@@H]1[C@H]2c3cc(N4CCN(C)CC4)ccc3C[C@@H](c3ccc(N4CCN(C)CC4)cc32)N1CC1CC1,CHEMBL3707088,5.69,nM,2040.0,nM,2040.0,Active
CC(=O)Oc1ccc2c(c1)[C@H]1c3cc(OC(C)=O)ccc3[C@H](C2)N2CCC[C@@H]12,CHEMBL3707077,5.54,nM,2900.0,nM,2900.0,Active
COc1ccc2c(c1)[C@H]1c3cc(OC)ccc3[C@H](C2)N2CCC[C@@H]12,CHEMBL3707096,5.39,nM,4040.0,nM,4040.0,Active
C[C@@H]1[C@H]2c3cc(N4CCN(C)CC4)ccc3C[C@@H](c3ccc(N4CCN(C)CC4)cc32)N1C,CHEMBL3707094,5.60,nM,2500.0,nM,2500.0,Active
CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(OC)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(N)=O,CHEMBL268874,7.59,nM,25.5,nM,25.5,Active
CN1[C@@H]2Cc3ccccc3[C@@H](c3ccccc32)[C@@H]1Cc1ccccc1,CHEMBL2112841,5.46,nM,3442.0,nM,3442.0,Active
C[C@@H]1[C@H]2c3cc(Br)ccc3C[C@@H](c3ccc(Br)cc32)N1C,CHEMBL3707086,5.05,nM,8840.0,nM,8840.0,Active
C[C@@H]1[C@H]2c3cc(NCc4ccccc4)ccc3C[C@@H](c3ccc(NCc4ccccc4)cc32)N1CC1CC1,CHEMBL3707089,7.31,nM,49.0,nM,49.0,Active
C[C@@H]1[C@H]2c3cc(O)ccc3C[C@@H](c3ccc(O)cc32)N1C,CHEMBL3707083,5.89,nM,1300.0,nM,1300.0,Active
C[C@@H]1[C@H]2c3cc(Nc4ccccc4)ccc3C[C@@H](c3ccc(Nc4ccccc4)cc32)N1C,CHEMBL3707095,6.28,nM,530.0,nM,530.0,Active
CC(=O)Oc1ccc2c(c1)[C@H]1c3cc(OC(C)=O)ccc3[C@H](C2)N(CC2CC2)[C@@H]1C,CHEMBL3707080,5.48,nM,3300.0,nM,3300.0,Active
C[C@@H]1[C@H]2c3cc(Nc4ccccc4)ccc3C[C@@H](c3ccc(Nc4ccccc4)cc32)N1CC1CC1,CHEMBL3707103,6.05,nM,890.0,nM,890.0,Active
C[C@@H]1[C@H]2c3cc(O)ccc3C[C@@H](c3ccc(O)cc32)N1CC1CC1,CHEMBL3707082,6.34,nM,460.0,nM,460.0,Active
COc1ccc2c(c1)[C@H]1c3cc(OC)ccc3[C@H](C2)N(CC2CC2)[C@@H]1C,CHEMBL3707101,5.18,nM,6630.0,nM,6630.0,Active
Oc1ccc2c(c1)[C@H]1c3cc(O)ccc3[C@H](C2)N2CCC[C@@H]12,CHEMBL3707075,5.42,nM,3800.0,nM,3800.0,Active
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NN,CHEMBL91760,6.64,nM,230.0,nM,230.0,Active
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NNC(=O)[C@H](N)Cc1ccccc1,CHEMBL319822,7.34,nM,46.0,nM,46.0,Active
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NNC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1,CHEMBL200199,8.59,nM,2.6,nM,2.6,Active
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NNC(=O)[C@H](N)Cc1c[nH]c2ccccc12,CHEMBL92286,7.54,nM,29.0,nM,29.0,Active
CCCC[C@@H](N)C(=O)NNC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1,CHEMBL214929,7.15,nM,71.0,nM,71.0,Active
CCCC[C@H](N)C(=O)NNC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1,CHEMBL328443,7.68,nM,21.0,nM,21.0,Active
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NNC(=O)[C@H](N)Cc1ccc(O)cc1,CHEMBL432041,7.80,nM,16.0,nM,16.0,Active
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NNC(=O)[C@H](N)Cc1ccccc1,CHEMBL328902,7.82,nM,15.0,nM,15.0,Active
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NNC(=O)[C@@H](N)Cc1ccccc1,CHEMBL92503,7.52,nM,30.0,nM,30.0,Active
Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314,CHEMBL468469,7.50,nM,32.0,nM,32.0,Active
Oc1ccc2c3c1O[C@H]1[C@H](OCc4cccc(N=C=S)c4)CC[C@@]4(O)C(C2)N(CC2CC2)CCC314,CHEMBL154510,8.19,nM,6.5,nM,6.5,Active
Oc1ccc2c3c1O[C@H]1[C@H](OCc4ccc(CN=C=S)cc4)CC[C@@]4(O)C(C2)N(CC2CC2)CCC314,CHEMBL347674,7.68,nM,21.0,nM,21.0,Active
Oc1ccc2c3c1O[C@H]1[C@H](OCc4ccccc4CN=C=S)CC[C@@]4(O)C(C2)N(CC2CC2)CCC314,CHEMBL152327,7.66,nM,22.0,nM,22.0,Active
CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@H](CN1CCCC1)c1cccc(N)c1,CHEMBL413530,7.05,nM,88.5,nM,88.5,Active
Oc1ccc2c3c1O[C@H]1[C@H](OCc4cccc(CN=C=S)c4)CC[C@@]4(O)C(C2)N(CC2CC2)CCC314,CHEMBL152351,7.92,nM,12.0,nM,12.0,Active
Oc1ccc2c3c1O[C@H]1[C@H](OCc4ccccc4N=C=S)CC[C@@]4(O)C(C2)N(CC2CC2)CCC314,CHEMBL345208,8.74,nM,1.8,nM,1.8,Active
Oc1ccc2c3c1O[C@H]1[C@H](OCc4ccc(N=C=S)cc4)CC[C@@]4(O)C(C2)N(CC2CC2)CCC314,CHEMBL352224,7.46,nM,35.0,nM,35.0,Active
CCN(CC)C(=O)c1ccc(C(c2cccc3c2OC(C)(C)C3)N2CCNCC2)cc1,CHEMBL127761,8.94,nM,1.15,nM,1.15,Active
CC(=O)c1ccc(C(c2ccccc2)N2CCNCC2)cc1,CHEMBL130587,5.98,nM,1045.0,nM,1045.0,Active
C=CCN1CCN(C(c2ccccc2)c2ccc(C(=O)N(CC)CC)cc2)CC1,CHEMBL24035,7.80,nM,15.9,nM,15.9,Active
CCN(CC)C(=O)c1ccc(C(c2cccc(OC)c2)N2CC(C)(C)NCC2C)cc1,CHEMBL127434,8.07,nM,8.44,nM,8.44,Active
CCN(CC)C(=O)c1ccc(C(c2ccc(Cl)cc2)N2CCNCC2)cc1,CHEMBL128006,7.71,nM,19.3,nM,19.3,Active
O=C(CSSCC(=O)N[C@@]12CCC(=O)[C@@H]3Oc4c(O)ccc5c4[C@@]31CCN(CC1CC1)[C@@H]2C5)N[C@@]12CCC(=O)[C@@H]3Oc4c(O)ccc5c4[C@@]31CCN(CC1CC1)[C@@H]2C5,CHEMBL290701,7.62,nM,24.0,nM,24.0,Active
C[C@@]12Oc3c(O)ccc4c3[C@@]13CCN(CC1CC1)[C@H](C4)[C@]3(NC(=O)CSSCC(=O)N[C@@]13CCC(=O)[C@]4(C)Oc5c(O)ccc6c5[C@@]41CCN(CC1CC1)[C@@H]3C6)CCC2=O,CHEMBL2304424,8.28,nM,5.3,nM,5.3,Active
CC(C)(O)c1ccc(C(c2ccccc2)N2CCNCC2)cc1,CHEMBL129391,6.39,nM,406.0,nM,406.0,Active
CCN(CC)C(=O)c1ccc(C(c2ccc3ncccc3c2)N2CCNCC2)cc1,CHEMBL338535,7.21,nM,61.6,nM,61.6,Active
CCCCN1CCN(C(c2ccccc2)c2ccc(C(=O)N(CC)CC)cc2)CC1,CHEMBL123679,7.54,nM,28.6,nM,28.6,Active
C=CCN1C[C@H](C)N([C@H](c2ccc(C(=O)N(CC)CC)cc2)c2cccc(O)c2)C[C@H]1C,CHEMBL25230,9.64,nM,0.23,nM,0.23,Active
CCN(CC)C(=O)c1ccc(C(c2ccccc2)N2CCCCC2)cc1,CHEMBL127240,5.65,nM,2230.0,nM,2230.0,Active
COC(=O)c1ccc(C(c2ccccc2)N2CCNCC2)cc1,CHEMBL125842,6.51,nM,307.0,nM,307.0,Active
CCN(CC)C(=O)c1ccc(C(c2cccc(OC)c2)N2CCNCC2)cc1,CHEMBL125742,7.61,nM,24.8,nM,24.8,Active
CCN(CC)C(=O)c1ccc(C(c2ccccc2)N(C)CCNC)cc1,CHEMBL338436,7.04,nM,91.6,nM,91.6,Active
CCN(CC)C(=O)c1ccc(C(c2cccc(F)c2)N2CCNCC2)cc1,CHEMBL340834,8.35,nM,4.5,nM,4.5,Active
NC(=O)c1ccc(C(c2ccccc2)N2CCNCC2)cc1,CHEMBL340802,6.29,nM,509.0,nM,509.0,Active
CCN(CC)C(=O)c1ccc(C(c2ccc3cccnc3c2)N2CCNCC2)cc1,CHEMBL126819,8.96,nM,1.1,nM,1.1,Active
O=C(O)c1ccc(C(c2ccccc2)N2CCNCC2)cc1,CHEMBL340699,6.39,nM,410.0,nM,410.0,Active
CN(C)C(=O)c1ccc(C(c2ccccc2)N2CCNCC2)cc1,CHEMBL339034,7.22,nM,60.4,nM,60.4,Active
