,accuracy,precision,recall,f1,roc_auc
Random Forest,0.9380530973451328,0.6666666666666666,0.25,0.36363636363636365,0.7875
XGBoost,0.9557522123893806,1.0,0.375,0.5454545454545454,0.7095238095238096
SVM,0.9380530973451328,1.0,0.125,0.2222222222222222,0.655952380952381
Logistic Regression,0.9292035398230089,0.0,0.0,0.0,0.6904761904761905
